(H) Change in Stock Value (FIFO Queue),(H) Mudança no valor do stock (fila FIFO)
(H) Valuation Rate,(H) Taxa de avaliação
(Hour Rate / 60) * Actual Operation Time,(Taxa de hora / 60) * Tempo de operação real
(I) Valuation Rate,(I) Taxa de avaliação
(J) Valuation Rate as per FIFO,(J) Taxa de avaliação conforme FIFO
(K) Valuation = Value (D) รท Qty (A),(K) avaliação = valor (d) Qtdy (a)
(including),(incluindo)
* Will be calculated in the transaction.,* Será calculado na transação.
0 - 30 Days,0 - 30 dias
0-30,0-30
0-30 Days,0-30 dias
1 Loyalty Points = How much base currency?,1 Pontos de fidelidade = Quanta moeda base?
1 hr,1 hr
1{0},1 {0}
2 Yearly,2 anualmente
3 Yearly,3 anualmente
30 - 60 Days,30 - 60 dias
30 mins,30 minutos
30-60,30-60
30-60 Days,30-60 dias
6 hrs,6 horas
60 - 90 Days,60 - 90 dias
60-90,60-90
60-90 Days,60-90 dias
90 - 120 Days,90 - 120 dias
90 Above,90 acima
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b> De Time </b> não pode ser posterior ao <b> Time </b> para {0}
"<br>|||<h4>Note</h4>|||<ul>|||<li>|||You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.|||</li><li>|||    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.|||</li></ul>|||<h4> Examples</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Body</b>: <br><br>|||<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>|||</ul>|||<!-- {% endraw %} -->","<br> ||| <h4> Nota </h4> ||| <ul> ||| <li> ||| Você pode usar <a href = ""https://jinja.palletsprojects.com/en/2.11.x/"" Target = ""_""> jinja bags </a> em <b> <b> súdito valores. ||| </li> <li> |||    Todos os campos neste doctype estão disponíveis no objeto <b> doc </b> e em todos os campos para o cliente para quem o e-mail irá disponível no objeto <b> cliente </b>.    <li> <b> Assunto </b>: <br> <br> <pre> <code> Declaração de contas para {{Customer.customer_name}} </code> </pre> <br> </li> |||    <li> <b> corpo </b>: <br> <br> ||| <pre> <code> hello {{Customer.customer_name}}, <br> Endraw %} ->"
"<div class=""columnHeading"">Other Details</div>","<div class = ""columnheading""> Outros detalhes </div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class = ""text-center abastado em texto""> Nenhuma transação bancária correspondente encontrada </div>"
"<div class=""text-muted text-center"">{0}</div>","<div class = ""text-center de texto""> {0} </div>"
<div>|||<h3> All dimensions in centimeter only </h3>|||</div>,<div> ||| <H3> Todas as dimensões apenas em centímetro </h3> ||| </div>
"<h3>About Product Bundle</h3>||||||<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>|||<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>|||<h4>Example:</h4>|||<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<H3> Sobre o pacote de produtos </h3> |||||| <p> Grupo agregado de itens <b> </b> em outro <b> item </b>. Isso é útil se você estiver agrupando um determinado <b> itens </b> em um pacote e mantém o stock dos itens <b> embalados </b> e não o agregado <b> item </b>. </p> ||| <p> O pacote <b> item </b> terá <code> é um item de stock </code> como <b> não </b> <b> Sim </b>.
"<h3>Currency Exchange Settings Help</h3>|||<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>|||<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>|||<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<H3> Configurações da troca de moeda Ajuda </h3> ||| <p> Existem 3 variáveis que podem ser usadas no ponto final, chave de resultado e nos valores do parâmetro. Exchange.com/2021-08-01, então você terá que inserir Exchange.com/ {transaction_date} </p>"
"<h4>Body Text and Closing Text Example</h4>||||||<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<H4> Texto corporal e Exemplo de texto de fechamento </h4> |||||| <div> Percebemos que você ainda não pagou fatura {{sales_invoice}} para {{frapppe.db.get_value (""moeda"", moeda, ""símbolo)}} {{(excelente_amount { Este é um lembrete amigável de que a fatura foi devida em {{Due_date}}. Pague o valor devido imediatamente para evitar qualquer custo de dunning adicional. Você pode descobrir os campos de qualquer documento via configuração & gt; Personalize a visualização do formulário e selecionando o tipo de documento (por exemplo, fatura de vendas) </p> |||||| <h4> modelo </h4> |||||| <p> Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre Jinja, <a class = ""forte"" href = ""http://jinja.pocoo.org/docs/dev/templates/""> leia esta documentação. </a> </p>"
"<h4>Contract Template Example</h4>||||||<pre>Contract for Customer {{ party_name }}||||||-Valid From : {{ start_date }} |||-Valid To : {{ end_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4> Modelo de contrato Exemplo </h4> |||||| <pre> contrato para o cliente {{Party_name}} |||||| -Valid de: {{start_date}}} ||||||||| Os nomes de campo que você pode usar no seu modelo de contrato são os campos no contrato para o qual você está criando o modelo. Você pode descobrir os campos de qualquer documento via configuração & gt; Personalize a visualização do formulário e selecionando o tipo de documento (por exemplo, contrato) </p> |||||| <h4> modelo </h4> |||||| <p> Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre Jinja, <a class = ""forte"" href = ""http://jinja.pocoo.org/docs/dev/templates/""> leia esta documentação. </a> </p>"
"<h4>Standard Terms and Conditions Example</h4>||||||<pre>Delivery Terms for Order number {{ name }}||||||-Order Date : {{ transaction_date }} |||-Expected Delivery Date : {{ delivery_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<H4> Termos e condições padrão Exemplo </h4> |||||| <pre> Termos de entrega para o número do pedido {{name}} |||||| -Dord Data: {{transaction_date}} |||||| FieldNames </h4> |||||| <p> Os nomes de campo que você pode usar no seu modelo de e-mail são os campos no documento do qual você está enviando o email. Você pode descobrir os campos de qualquer documento via configuração & gt; Personalize a visualização do formulário e selecionando o tipo de documento (por exemplo, fatura de vendas) </p> |||||| <h4> modelo </h4> |||||| <p> Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre Jinja, <a class = ""forte"" href = ""http://jinja.pocoo.org/docs/dev/templates/""> leia esta documentação. </a> </p>"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class = ""manchada de texto moída"" ou </h5>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<LABEL class = ""Control-Label"" style = ""margem-bottom: 0px;"">Configurações do número da conta </belt>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<Label Class = ""Control-Label"" style = ""margem-bottom: 0px;"">quantidade em palavras</belt>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<LABEL class = ""Control-Label"" style = ""margem-bottom: 0px;"">Configurações de data</belt>"
"<p>In your <b>Email Template</b>, you can use the following special variables:|||</p>|||<ul>|||        <li>|||            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.|||        </li>|||        <li>|||            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.|||        </li>|||        <li>|||            <code>{{ supplier_name }}</code>: The company name of your supplier.|||        </li>|||        <li>|||            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.|||        </li><li>|||            <code>{{ user_fullname }}</code>: Your full name.|||        </li>|||    </ul>|||<p></p>|||<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p> No seu <b> modelo de email </b>, você pode usar as seguintes variáveis especiais: ||| </p> ||| <ul> |||        <li> |||            <code> {{update_password_link}} </code>: um link em que seu fornecedor pode definir uma nova senha para fazer login no seu portal. |||        </li> |||        <li> |||            <code> {{Portal_link}} </code>: um link para este RFQ no seu portal de fornecedores. |||        </li> |||        <li> |||            <code> {{fornecedor_name}} </code>: o nome da empresa do seu fornecedor. |||        </li> |||        <li> |||            <code> {{contact.salutation}} {{contact.last_name}} </code>: a pessoa de contato do seu fornecedor. |||        </li> <li> |||            <code> {{user_fullname}} </code>: seu nome completo. |||        </li> |||    </ul> ||| <p> </p> ||| <p> Além disso, você pode acessar todos os valores neste RFQ, como <code> {{message_for_supplier}} </code> ou <code> {{termos}} </code>. </p>"
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?","<p> A taxa de lista de preços não foi definida como editável nas configurações de venda. Nesse cenário, definir a lista de preços <strong> de atualização com base na taxa de lista de preços <strong> para <strong> </strong> impedirá a atualização automática do preço do item. </p> tem certeza de que deseja continuar?"
"<pre><h5>Message Example</h5>||||||&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;||||||&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","<fre> <h5> Exemplo de mensagem </h5> |||||| & lt; p & gt; Obrigado por fazer parte de {{doc.company}}! Esperamos que você esteja aproveitando o serviço. & Lt;/p & gt; |||||| & lt; p & gt; Encontre a declaração de fatura E. O valor pendente é {{doc.grand_total}}. & Lt;/p & gt; |||||| & lt; p & gt; Não queremos que você gaste tempo correndo para pagar sua conta. <br> Afinal, a vida é linda e o tempo que você tem em mãos deve ser gasto para se divertir! & lt;/p & gt; |||||| & lt; a href = ""{{paging_url}}"" & gt; Clique aqui para pagar & lt;/a & gt; |||||| </re> |||"
"<pre><h5>Message Example</h5>||||||&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;||||||&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","Exemplo de mensagem <H5> Mensagem </h5> |||||| & lt; p & gt; querido {{doc.contact_person}}, & lt;/p & gt; ||||| * para {lt; }}. Clique aqui para pagar & lt;/a & gt; |||||| </re> |||"
<strong>Grand Total:</strong> {0},<strong> Grand Total: </strong> {0}
<strong>Outstanding Amount:</strong> {0},<strong> Montante pendente: </strong> {0}
"<table class=""table table-bordered table-condensed"">|||<thead>|||  <tr>|||         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>|||         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>|||   </tr>|||</thead>|||<tbody>|||<tr>|||         <td>|||                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>||||||         </td>|||         <td>|||                    <p>To access document field use doc.fieldname </p>|||         </td>|||</tr>|||<tr>|||        <td>|||                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>||||||        </td>|||         <td>|||                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    |||          </td>|||</tr>||||||</tbody>|||</table>|||||||||||||||||||||","<tabela class = ""Table-bordered tabela de mesa""> ||| <Thead> |||  <tr> |||         <th class = ""tabela-sr"" style = ""width: 50%;""> documento filho </th> |||         <th class = ""tabela-sr"" style = ""width: 50%;""> documento não criança </th> |||   </tr> ||| </sead> ||| <tbody> ||| <tr> |||         <Td> |||                  <p> Para acessar o campo do documento pai, use parent.fieldname e para acessar o documento da tabela infantil, use doc.fieldname </p> ||||||         </td> |||         <Td> |||                    <p> Para acessar o campo de documento, use doc.fieldname </p> |||         </td> ||| </tr> ||| <tr> |||        <Td> |||                   <p> <b> Exemplo: </b> parent.doctype == ""Entrada de stock"" e doc.item_code == ""teste"" </p> ||||||        </td> |||         <Td> |||                   <p> <b> Exemplo: </b> doc.doctype == ""entrada de stock"" e doc.purpose == ""fabricação"" </p> |||          </td> ||| </tr> ||||||| </tbody> ||| </ tabela> ||||||||||||||||||||||"
A - B,A - b
A - C,A - c
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Um grupo de clientes existe com o mesmo nome, altere o nome do cliente ou renomeie o grupo de clientes"
A Holiday List can be added to exclude counting these days for the Workstation.,Uma lista de férias pode ser adicionada para excluir a contagem atualmente para a estação de trabalho.
A Lead requires either a person's name or an organization's name,Um lead requer o nome de uma pessoa ou o nome de uma organização
A Packing Slip can only be created for Draft Delivery Note.,Uma guia de embalagem só pode ser criado para um rascunho de nota de entrega.
"A Price List is a collection of Item Prices either Selling, Buying, or both","Uma lista de preços é uma coleção de preços de itens que vendem, compra ou ambos"
"A Product or a Service that is bought, sold or kept in stock.","Um produto ou um serviço comprado, vendido ou mantido em stock."
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,Um trabalho de reconciliação {0} está em execução para os mesmos filtros. Não pode se reconciliar agora
A Transaction Deletion Document: {0} is triggered for {0},Um documento de exclusão da transação: {0} é acionado para {0}
A condition for a Shipping Rule,Uma condição para uma regra de remessa
A customer must have primary contact email.,Um cliente deve ter email de contato primário.
A driver must be set to submit.,Um motorista deve ser definido para enviar.
A logical Warehouse against which stock entries are made.,Um armazém lógico contra o qual as entradas de stock são feitas.
A new appointment has been created for you with {0},Um novo compromisso foi criado para você com {0}
A template with tax category {0} already exists. Only one template is allowed with each tax category,Um modelo com categoria de imposto {0} já existe. Apenas um modelo é permitido com cada categoria de imposto
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Um distribuidor de terceiros / revendedor / agente de comissão / afiliado / revendedor que vende os produtos da empresa para uma comissão.
A+,A+
A-,UM-
A4,A4
AB+,AB+
AB-,Ab-
ACC-ADS-.YYYY.-,Acc-ads-.yyyy.-
ACC-AML-.YYYY.-,Acc-aml-.yyyy.-
ACC-ASA-.YYYY.-,Acc-asa-.yyyy.-
ACC-ASC-.YYYY.-,Acc-asc-.yyyy.-
ACC-ASR-.YYYY.-,Acc-asr-.yyyy.-
ACC-ASS-.YYYY.-,ACC-ASS-ASS-AN.
ACC-BTN-.YYYY.-,Acctn-.yyyy.-
ACC-JV-.YYYY.-,Acc-jv-.yyyy.-
ACC-PAY-.YYYY.-,Acc-pay-.yyyy.-
ACC-PINV-.YYYY.-,ACC-PINV-.YYY.-
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYY.-
ACC-PRQ-.YYYY.-,ac-prq-.yyy.
ACC-PSINV-.YYYY.-,Acc-psinv-.yyyy.-
ACC-SH-.YYYY.-,ACC-sh-.yyyy.-
ACC-SINV-.YYYY.-,Acc-sinv-.yyyy.-
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYY.-
AMC Expiry Date,Data de expiração da AMC
API,API
API Details,Detalhes da API
API Endpoint,Endpoint da API
API Key,Chave da API
AWB Number,Número AWB
Abbr,Abbr
Abbreviation,Abreviação
Abbreviation already used for another company,Abreviação já usada para outra empresa
Abbreviation is mandatory,A abreviação é obrigatória
Abbreviation: {0} must appear only once,Abreviação: {0} deve aparecer apenas uma vez
About,Sobre
About {0} minute remaining,Cerca de {0} minuto restante
About {0} minutes remaining,Cerca de {0} minutos restantes
About {0} seconds remaining,Cerca de {0} segundos restantes
Above 120 Days,Acima de 120 dias
Academics User,Usuário acadêmico
Acceptance Criteria Formula,Fórmula de critérios de aceitação
Acceptance Criteria Value,Valor dos critérios de aceitação
Accepted,Aceito
Accepted Qty,Qty aceito
Accepted Qty in Stock UOM,Qty aceito em stock uom
Accepted Quantity,Quantidade aceita
Accepted Warehouse,Armazém aceito
Access Key,Chave de acesso
Access Key is required for Service Provider: {0},A chave de acesso é necessária para o provedor de serviços: {0}
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,De acordo com Cefact/ICG/2010/IC013 ou CEFACT/ICG/2010/IC010
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","De acordo com o Bom {0}, o item '{1}' está ausente na entrada de stock."
Account,Conta
Account Balance,Saldo da conta
Account Closing Balance,Saldo de fechamento da conta
Account Currency,Moeda da conta
Account Currency (From),Moeda da conta (de)
Account Currency (To),Moeda da conta (para)
Account Details,Detalhes da conta
Account Head,Cabeça da conta
Account Manager,Gerente de contas
Account Missing,Conta faltando
Account Name,Nome da conta
Account Not Found,Conta não encontrada
Account Number,Número de conta
Account Number {0} already used in account {1},Número da conta {0} já usado na conta {1}
Account Opening Balance,Saldo de abertura da conta
Account Paid From,Conta paga de
Account Paid To,Conta paga para
Account Pay Only,Somente pagamento da conta
Account Subtype,Subtipo de conta
Account Type,Tipo de conta
Account Value,Valor da conta
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Saldo de conta já em crédito, você não tem permissão para definir 'o saldo deve ser' como 'débito'"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Saldo de conta já em débito, você não tem permissão para definir 'o saldo deve ser' como 'crédito'"
Account for Change Amount,Conta do valor da alteração
Account is mandatory to get payment entries,Conta é obrigatória para obter entradas de pagamento
Account is not set for the dashboard chart {0},A conta não está definida para o gráfico do painel {0}
Account not Found,Conta não encontrada
Account with child nodes cannot be converted to ledger,Conta com nós filhos não podem ser convertidos em razão
Account with child nodes cannot be set as ledger,Conta com nós filhos não podem ser definidos como livro
Account with existing transaction can not be converted to group.,A conta da transação existente não pode ser convertida em grupo.
Account with existing transaction can not be deleted,Conta com transação existente não pode ser excluída
Account with existing transaction cannot be converted to ledger,Conta com transação existente não pode ser convertida em razão
Account {0} added multiple times,Conta {0} adicionada várias vezes
Account {0} does not belong to company: {1},Conta {0} não pertence à empresa: {1}
Account {0} does not belongs to company {1},Conta {0} não pertence à empresa {1}
Account {0} does not exist,Conta {0} não existe
Account {0} does not exists,Conta {0} não existe
Account {0} does not exists in the dashboard chart {1},Conta {0} não existe no gráfico do painel {1}
Account {0} does not match with Company {1} in Mode of Account: {2},Conta {0} não corresponde à Companhia {1} no modo de conta: {2}
Account {0} exists in parent company {1}.,Conta {0} existe na empresa controladora {1}.
Account {0} has been entered multiple times,A conta {0} foi inserida várias vezes
Account {0} is added in the child company {1},A conta {0} é adicionada na empresa infantil {1}
Account {0} is frozen,Conta {0} está congelada
Account {0} is invalid. Account Currency must be {1},A conta {0} é inválida. A moeda da conta deve ser {1}
Account {0} should be of type Expense,Conta {0} deve ser da despesa de tipo
Account {0}: Parent account {1} can not be a ledger,Conta {0}: conta pai {1} não pode ser um razão
Account {0}: Parent account {1} does not belong to company: {2},Conta {0}: conta pai {1} não pertence à empresa: {2}
Account {0}: Parent account {1} does not exist,Conta {0}: conta pai {1} não existe
Account {0}: You can not assign itself as parent account,Conta {0}: você não pode se atribuir como conta pai
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Conta: <b> {0} </b> é um trabalho de capital em andamento e não pode ser atualizado por entrada do diário
Account: {0} can only be updated via Stock Transactions,Conta: {0} só pode ser atualizada por meio de transações de stock
Account: {0} is not permitted under Payment Entry,Conta: {0} não é permitida sob entrada de pagamento
Account: {0} with currency: {1} can not be selected,Conta: {0} com moeda: {1} não pode ser selecionado
Accounting,Contabilidade
Accounting Details,Detalhes contábeis
Accounting Dimension,Dimensão contábil
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,A dimensão contábil <b> {0} </b> é necessária para a conta 'Balanço' {1}.
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,A dimensão contábil <b> {0} </b> é necessária para a conta de 'lucro e perda' {1}.
Accounting Dimension Detail,Detalhe da dimensão contábil
Accounting Dimension Filter,Filtro de dimensão contábil
Accounting Dimensions,Dimensões contábeis
Accounting Dimensions ,Dimensões contábeis
Accounting Dimensions Filter,Dimensões contábeis filtro
Accounting Entries,Entradas contábeis
Accounting Entry for Asset,Entrada contábil para ativo
Accounting Entry for Service,Entrada contábil para serviço
Accounting Entry for Stock,Entrada contábil para stock
Accounting Entry for {0},Entrada contábil para {0}
Accounting Entry for {0}: {1} can only be made in currency: {2},A entrada contábil para {0}: {1} só pode ser feita em moeda: {2}
Accounting Ledger,Contabilidade contábil
Accounting Period,Período contábil
Accounting Period overlaps with {0},O período contábil se sobrepõe a {0}
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"As entradas contábeis são congeladas até esta data. Ninguém pode criar ou modificar entradas, exceto os usuários com a função especificada abaixo"
Accounts,Contas
Accounts Closing,Fechamento de contas
Accounts Frozen Till Date,Contas congeladas até a data
Accounts Manager,Gerente de contas
Accounts Missing Error,Contas ausentes erros
Accounts Payable,Contas a pagar
Accounts Payable Summary,Resumo de contas a pagar
Accounts Receivable,Contas a receber
Accounts Receivable / Payable Tuning,Contas a receber / ajuste a pagar
Accounts Receivable Credit Account,Conta de crédito de contas a receber
Accounts Receivable Discounted Account,Contas a receber conta com desconto
Accounts Receivable Summary,Resumo das contas a receber
Accounts Receivable Unpaid Account,Contas a receber conta não paga
Accounts Receivable/Payable,Contas a receber/pagar
Accounts Settings,Configurações de contas
Accounts User,Usuário de contas
Accounts table cannot be blank.,A tabela de contas não pode estar em branco.
Accounts to Merge,Contas para mesclar
Accumulated Depreciation,Depreciação acumulada
Accumulated Depreciation Account,Conta de depreciação acumulada
Accumulated Depreciation Amount,Quantidade de depreciação acumulada
Accumulated Depreciation as on,Depreciação acumulada como em
Accumulated Monthly,Acumulado mensalmente
Accumulated Values,Valores acumulados
Accumulated Values in Group Company,Valores acumulados na empresa de grupo
Achieved ({}),Alcançou ({})
Acquisition Date,Data de aquisição
Action,Ação
Action If Quality Inspection Is Not Submitted,Ação se a inspeção de qualidade não for enviada
Action If Quality Inspection Is Rejected,Ação se a inspeção de qualidade for rejeitada
Action If Same Rate is Not Maintained,Ação se a mesma taxa não for mantida
Action Initialised,Ação inicializada
Action if Accumulated Monthly Budget Exceeded on Actual,Ação se acumulado orçamento mensal excedido no real
Action if Accumulated Monthly Budget Exceeded on MR,Ação se acumulado Orçamento mensal excedido no MR
Action if Accumulated Monthly Budget Exceeded on PO,Ação se acumulado orçamento mensal excedido no PO
Action if Annual Budget Exceeded on Actual,Ação se o orçamento anual excedido no real
Action if Annual Budget Exceeded on MR,Ação se o orçamento anual excedido no MR
Action if Annual Budget Exceeded on PO,Ação se o orçamento anual excedido no PO
Action if Same Rate is Not Maintained Throughout Sales Cycle,Ação se a mesma taxa não for mantida durante todo o ciclo de vendas
Actions,Ações
Actions performed,Ações executadas
Active,Ativo
Active Leads,Leads ativos
