source,pt_PT
"<h3>About Product Bundle</h3>||||||<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>|||<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>|||<h4>Example:</h4>|||<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>Sobre o pacote de produtos</h3>||||||<p>Agregue um grupo de <b>Itens</b> em outro <b>Item</b>. Isso é útil se você estiver agrupando determinados <b>itens</b> em um pacote e mantiver estoque dos <b>itens</b> embalados e não do <b>item</b> agregado.</p>|||<p>O <b>item</b> do pacote terá <code>É item de estoque</code> como <b>Não</b> e <code>É item de venda</code> como <b>Sim</b>.</p>|||<h4>Exemplo:</h4>|||<p>Se você vende laptops e mochilas separadamente e tem um preço especial se o cliente comprar ambos, o laptop + mochila será um novo item do pacote de produtos.</p>"
"<h3>Currency Exchange Settings Help</h3>|||<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>|||<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>|||<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Ajuda de configurações de câmbio</h3>|||<p>Existem três variáveis que podem ser usadas no endpoint, na chave de resultado e nos valores do parâmetro.</p>|||<p>A taxa de câmbio entre {from_currency} e {to_currency} em {transaction_date} é buscada pela API.</p>|||<p>Exemplo: se seu endpoint for exchange.com/2021-08-01, então você terá que inserir exchange.com/{transaction_date}</p>"
"<h4>Body Text and Closing Text Example</h4>||||||<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exemplo de corpo de texto e texto de fechamento</h4>||||||<div>Percebemos que você ainda não pagou a fatura {{sales_invoice}} de {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. Este é um lembrete amigável de que a fatura vence em {{due_date}}. Pague o valor devido imediatamente para evitar custos adicionais de cobrança.</div>||||||<h4>Como obter nomes de campo</h4>||||||<p>Os nomes de campo que você pode usar em seu modelo são os campos do documento. Você pode descobrir os campos de qualquer documento em Configuração &gt; Personalize a visualização do formulário e selecione o tipo de documento (por exemplo, fatura de vendas)</p>||||||<h4>Modelos</h4>||||||<p>Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre o Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">leia esta documentação.</a></p>"
"<h4>Contract Template Example</h4>||||||<pre>Contract for Customer {{ party_name }}||||||-Valid From : {{ start_date }} |||-Valid To : {{ end_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exemplo de modelo de contrato</h4>||||||<pre>Contrato para o cliente {{ party_name }}||||||-Válido de: {{ start_date }} |||-Válido até: {{ end_date }}|||</pre>||||||<h4>Como obter nomes de campo</h4>||||||<p>Os nomes de campos que você pode usar em seu modelo de contrato são os campos no Contrato para o qual você está criando o modelo. Você pode descobrir os campos de qualquer documento em Configuração &gt; Personalize a visualização do formulário e selecione o tipo de documento (por exemplo, Contrato)</p>||||||<h4>Modelos</h4>||||||<p>Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre o Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">leia esta documentação.</a></p>"
"<h4>Standard Terms and Conditions Example</h4>||||||<pre>Delivery Terms for Order number {{ name }}||||||-Order Date : {{ transaction_date }} |||-Expected Delivery Date : {{ delivery_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Exemplo de termos e condições padrão</h4>||||||<pre>Condições de entrega para o número do pedido {{ name }}||||||-Data do pedido: {{ transaction_date }} |||-Data de entrega esperada: {{ delivery_date }}|||</pre>||||||<h4>Como obter nomes de campo</h4>||||||<p>Os nomes de campo que você que você pode usar em seu modelo de e-mail são os campos do documento do qual você está enviando o e-mail. Você pode descobrir os campos de qualquer documento em Configuração &gt; Personalize a visualização do formulário e selecione o tipo de documento (por exemplo, fatura de vendas)</p>||||||<h4>Modelos</h4>||||||<p>Os modelos são compilados usando a linguagem de modelos Jinja. Para saber mais sobre o Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">leia esta documentação.</a></p>"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Ou</h5>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Configurações do número da conta</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Quantidade em palavras</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Configurações de data</label>"
<li>Clearance date must be after cheque date for row(s): {0}</li>,<li>A data de liberação deve ser posterior à data de verificação das linhas: {0}</li>
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>O item {0} na(s) linha(s) {1} faturou mais de {2}</li>
"<li>Packed Item {0}: Required {1}, Available {2}</li>","<li>Item embalado {0}: obrigatório {1}, disponível {2}</li>"
<li>Payment document required for row(s): {0}</li>,<li>Documento de pagamento necessário para linha(s): {0}</li>
<li>{}</li>,<li>{}</li>
<p>Cannot overbill for the following Items:</p>,<p>Não é possível cobrar a mais pelos seguintes itens:</p>
<p>Following {0}s doesn't belong to Company {1} :</p>,<p>Os seguintes {0}s não pertencem à Empresa {1}:</p>
"<p>In your <b>Email Template</b>, you can use the following special variables:|||</p>|||<ul>|||        <li>|||            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.|||        </li>|||        <li>|||            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.|||        </li>|||        <li>|||            <code>{{ supplier_name }}</code>: The company name of your supplier.|||        </li>|||        <li>|||            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.|||        </li><li>|||            <code>{{ user_fullname }}</code>: Your full name.|||        </li>|||    </ul>|||<p></p>|||<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>No seu <b>Modelo de e-mail</b>, você pode usar as seguintes variáveis ​​especiais:|||</p>|||<ul>|||        <li>|||            <code>{{ update_password_link }}</code>: Um link onde seu fornecedor pode definir uma nova senha para fazer login em seu portal.|||        </li>|||        <li>|||            <code>{{ portal_link }}</code>: Um link para esta RFQ no portal do seu fornecedor.|||        </li>|||        <li>|||            <code>{{ fornecedor_name }}</code>: O nome da empresa do seu fornecedor.|||        </li>|||        <li>|||            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: A pessoa de contato do seu fornecedor.|||        </li><li>|||            <code>{{ user_fullname }}</code>: Seu nome completo.|||        </li>|||    </ul>|||<p></p>|||<p>Além desses, você pode acessar todos os valores nesta RFQ, como <code>{{ message_for_supplier }}</code> ou <code>{{ termos }}</code>.</p>"
<p>Please correct the following row(s):</p><ul>,<p>Corrija as seguintes linhas:</p><ul>
<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>A data de lançamento {0} não pode ser anterior à data do pedido de compra para o seguinte:</p><ul>
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?","<p>A Taxa da Lista de Preços não foi definida como editável nas Configurações de Venda. Neste cenário, definir <strong>Atualizar lista de preços com base em</strong> como <strong>Taxa da lista de preços</strong> impedirá a atualização automática do preço do item.</p>Tem certeza de que deseja continuar?"
"<p>To allow over-billing, please set allowance in Accounts Settings.</p>","<p>Para permitir faturamento excessivo, defina o limite nas configurações da conta.</p>"
"<pre><h5>Message Example</h5>||||||&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;||||||&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","<pre><h5>Exemplo de mensagem</h5>||||||&lt;p&gt; Obrigado por fazer parte da {{ doc.company }}! Esperamos que você esteja gostando do serviço.&lt;/p&gt;||||||&lt;p&gt; Por favor, encontre em anexo a declaração do E Bill. O valor pendente é {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;p&gt; Não queremos que você perca tempo correndo para pagar suas contas.<br>Afinal, a vida é linda e o tempo que você tem em mãos deve ser gasto para aproveitá-la!<br>Então aqui estão nossas pequenas maneiras de ajudá-lo a conseguir mais tempo para a vida! &lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; clique aqui para pagar &lt;/a&gt;||||||</pre>|||"
"<pre><h5>Message Example</h5>||||||&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;||||||&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;||||||</pre>|||","<pre><h5>Exemplo de mensagem</h5>||||||&lt;p&gt;Prezado {{ doc.contact_person }},&lt;/p&gt;||||||&lt;p&gt;Solicitando pagamento para {{ doc.doctype }}, {{ doc.name }} para {{ doc.grand_total }}.&lt;/p&gt;||||||&lt;a href=""{{ payment_url }}""&gt; clique aqui para pagar &lt;/a&gt;||||||</pre>|||"
<strong>Grand Total:</strong> {0},<strong>Total geral:</strong> {0}
<strong>Outstanding Amount:</strong> {0},<strong>Valor pendente:</strong> {0}
"<table class=""table table-bordered table-condensed"">|||<thead>|||  <tr>|||         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>|||         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>|||   </tr>|||</thead>|||<tbody>|||<tr>|||         <td>|||                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>||||||         </td>|||         <td>|||                    <p>To access document field use doc.fieldname </p>|||         </td>|||</tr>|||<tr>|||        <td>|||                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>||||||        </td>|||         <td>|||                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    |||          </td>|||</tr>||||||</tbody>|||</table>|||||||||||||||||||||","<table class=""table table-bordered table-condensed"">|||<thead>|||  <tr>|||         <th class=""table-sr"" style=""width: 50%;"">Documento filho</th>|||         <th class=""table-sr"" style=""width: 50%;"">Documento não filho</th>|||   </tr>|||</thead>|||<tbody>|||<tr>|||         <td>|||                  <p> Para acessar o campo do documento pai use parent.fieldname e para acessar o campo do documento da tabela filho use doc.fieldname </p>||||||         </td>|||         <td>|||                    <p>Para acessar o campo do documento use doc.fieldname </p>|||         </td>|||</tr>|||<tr>|||        <td>|||                   <p><b>Exemplo: </b> parent.doctype == ""Entrada de estoque"" e doc.item_code == ""Teste"" </p>||||||        </td>|||         <td>|||                   <p><b>Exemplo: </b> doc.doctype == ""Entrada de Estoque"" e doc.purpose == ""Fabricação""</p> |||          </td>|||</tr>||||||</tbody>|||</table>||||||||||||||||||||"
A - B,A-B
A - C,A-C
A Holiday List can be added to exclude counting these days for the Workstation.,Uma Lista de Feriados pode ser adicionada para excluir a contagem desses dias para a Estação de Trabalho.
A Packing Slip can only be created for Draft Delivery Note.,Uma guia de remessa só pode ser criada para rascunho de nota de entrega.
"A Price List is a collection of Item Prices either Selling, Buying, or both","Uma lista de preços é uma coleção de preços de itens de venda, compra ou ambos"
"A Product or a Service that is bought, sold or kept in stock.","Um Produto ou Serviço que é comprado, vendido ou mantido em estoque."
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,Uma tarefa de reconciliação {0} está em execução para os mesmos filtros. Não é possível reconciliar agora
A Reverse Journal Entry {0} already exists for this Journal Entry.,Já existe um lançamento contábil reverso {0} para este lançamento contábil.
A condition for a Shipping Rule,Uma condição para uma regra de envio
A customer must have primary contact email.,Um cliente deve ter e-mail de contato principal.
A driver must be set to submit.,Um driver deve ser configurado para enviar.
A logical Warehouse against which stock entries are made.,Um armazém lógico no qual são feitas entradas de estoque.
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,Ocorreu um conflito de nomenclatura de série durante a criação de números de série. Altere a série de nomes do item {0}.
A new fiscal year has been automatically created.,Um novo ano fiscal foi criado automaticamente.
A template with tax category {0} already exists. Only one template is allowed with each tax category,Já existe um modelo com categoria fiscal {0}. Apenas um modelo é permitido para cada categoria de imposto
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Um distribuidor/revendedor/agente comissionado/afiliado/revendedor terceirizado que vende os produtos da empresa por uma comissão.
A+,UM+
A-,UM-
A4,A4
AB+,AB+
AB-,AB-
ACC-ADS-.YYYY.-,ACC-ADS-.AAAA.-
ACC-AML-.YYYY.-,ACC-AML-.AAAA.-
ACC-ASA-.YYYY.-,ACC-ASA-.AAAA.-
ACC-ASC-.YYYY.-,ACC-ASC-.AAAA.-
ACC-ASR-.YYYY.-,ACC-ASR-.AAAA.-
ACC-ASS-.YYYY.-,ACC-ASS-.AAAA.-
ACC-BTN-.YYYY.-,ACC-BTN-.AAAA.-
ACC-JV-.YYYY.-,ACC-JV-.AAAA.-
ACC-PAY-.YYYY.-,ACC-PAGAR-.AAAA.-
ACC-PINV-.YYYY.-,ACC-PINV-.AAAA.-
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.AAAA.-
ACC-PRQ-.YYYY.-,ACC-PRQ-.AAAA.-
ACC-PSINV-.YYYY.-,ACC-PSINV-.AAAA.-
ACC-SH-.YYYY.-,ACC-SH-.AAAA.-
ACC-SINV-.YYYY.-,ACC-SINV-.AAAA.-
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.AAAA.-
ALL records will be deleted (entire DocType cleared),TODOS os registros serão excluídos (todo o DocType apagado)
AMC Expiry (Serial),Expiração AMC (série)
AMC Expiry Date,Data de expiração do AMC
API,API
API Details,Detalhes da API
AWB Number,Número AWB
Abbr,Abbr
Abbreviation,Abreviação
Abbreviation: {0} must appear only once,Abreviatura: {0} deve aparecer apenas uma vez
Abortar,Abortar
About,Sobre
About {0} minute remaining,Cerca de {0} minutos restantes
About {0} minutes remaining,Cerca de {0} minutos restantes
About {0} seconds remaining,Cerca de {0} segundos restantes
Above,Acima
Above 120 Days,Acima de 120 dias
Acceptance Criteria Formula,Fórmula de Critérios de Aceitação
Acceptance Criteria Value,Valor dos critérios de aceitação
Accepted Qty,Quantidade aceita
Accepted Qty in Stock UOM,Quantidade aceita em estoque UOM
Accepted Warehouse,Armazém Aceito
According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,De acordo com CEFACT/ICG/2010/IC013 ou CEFACT/ICG/2010/IC010
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","De acordo com a BOM {0}, o Item '{1}' está faltando no lançamento de estoque."
Account,Conta
Account Category,Categoria da conta
Account Category Name,Nome da categoria da conta
Account Closing Balance,Saldo de fechamento de conta
Account Currency,Moeda da conta
Account Currency (From),Moeda da conta (de)
Account Currency (To),Moeda da conta (até)
Account Data,Dados da conta
Account Detail Level,Nível de detalhe da conta
Account Details,Detalhes da conta
Account Head,Chefe de conta
Account Manager,Gerente de contas
Account Opening Balance,Saldo de abertura de conta
Account Paid From,Conta paga de
Account Paid To,Conta paga para
Account Subtype,Subtipo de conta
Account Type,Tipo de conta
Account for Change Amount,Conta para valor de alteração
Account is mandatory,A conta é obrigatória
Account not Found,Conta não encontrada
Account with child nodes cannot be converted to ledger,A conta com nós filhos não pode ser convertida em razão
Account with child nodes cannot be set as ledger,A conta com nós filhos não pode ser definida como razão
Account {0} added multiple times,Conta {0} adicionada várias vezes
Account {0} cannot be converted to Group as it is already set as {1} for {2}.,A conta {0} não pode ser convertida em Grupo porque já está definida como {1} para {2}.
Account {0} cannot be disabled as it is already set as {1} for {2}.,A conta {0} não pode ser desativada porque já está definida como {1} para {2}.
Account {0} does not belong to company {1},A conta {0} não pertence à empresa {1}
Account {0} doesn't belong to Company {1},A conta {0} não pertence à Empresa {1}
Account {0} is disabled.,A conta {0} está desativada.
Account {0} should be of type Expense,A conta {0} deve ser do tipo Despesa
Account {0}: You can not assign itself as parent account,Conta {0}: você não pode atribuir-se como conta pai
Accounting Details,Detalhes contábeis
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,A dimensão contábil <b>{0}</b> é necessária para a conta 'Balanço Patrimonial' {1}.
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,A dimensão contábil <b>{0}</b> é necessária para a conta 'Lucros e perdas' {1}.
Accounting Dimension Filter,Filtro de Dimensão Contábil
Accounting Dimensions ,Dimensões Contábeis
Accounting Dimensions Filter,Filtro de Dimensões Contábeis
Accounting Entries,Lançamentos Contábeis
Accounting Entry for LCV in Stock Entry {0},Lançamento contábil para LCV em entrada de estoque {0}
Accounting Entry for Landed Cost Voucher for SCR {0},Lançamento contábil para comprovante de custo final para SCR {0}
Accounting Entry for {0},Lançamento contábil para {0}
Accounting entries are frozen up to this date. Only users with the specified role can create or modify entries before this date.,Os lançamentos contábeis estão congelados até esta data. Somente usuários com a função especificada podem criar ou modificar entradas antes desta data.
Accounts Closing,Fechamento de contas
Accounts Frozen Till Date,Contas congeladas até a data
Accounts Included in Report,Contas incluídas no relatório
Accounts Manager,Gerente de contas
Accounts Missing from Report,Contas ausentes no relatório
Accounts Payable Summary,Resumo de contas a pagar
Accounts Receivable / Payable Tuning,Ajuste de contas a receber/a pagar
Accounts Receivable Credit Account,Conta de crédito de contas a receber
Accounts Receivable Discounted Account,Conta com desconto de contas a receber
Accounts Receivable Summary,Resumo de contas a receber
Accounts Receivable Unpaid Account,Conta não paga de contas a receber
Accounts Receivable/Payable,Contas a receber/a pagar
Accounts User,Usuário de contas
Accounts to Merge,Contas para mesclar
Accrued Expenses,Despesas acumuladas
Accumulated Depreciation Account,Conta de depreciação acumulada
Accumulated Monthly Budget for Account {0} against {1} {2} is {3}. It will be collectively ({4}) exceeded by {5},O orçamento mensal acumulado para a conta {0} em relação a {1} {2} é {3}. Será coletivamente ({4}) excedido em {5}
